Statistic,Month,NACE.Group,value
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,"Retail sale of books, newspapers and stationery (4761,4762)",55.0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",10.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,Motor trades (45),3.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",4.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,Department stores (4719),-12.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,Retail sale of automotive fuel (4730),1.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,"Retail sale of hardware, paints and glass (4752)",-2.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,Retail sale of furniture and lighting (4759),5.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,Bars (5630),25.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,All retail businesses,0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,"Motor trades and automotive fuel (45,4730)",2.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,"All retail businesses, excluding motor trades and bars",-0.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,"All retail businesses, excluding motor trades",1.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,"All retail businesses, excluding motor trades, automotive fuel and bars",-0.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,"Retail sale of food (4711,4721 to 4729)",3.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",-1.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",-3.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",2.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,"Retail sale of electrical goods (4741 to 4743,4754)",-0.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",-6.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",-2.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,"Other retail sales (4753,4763 to 4765,4776 to 4778)",-3.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,"Retail sale of books, newspapers and stationery (4761,4762)",-7.0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 July,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",-6.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,Motor trades (45),-1.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",-4.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,Department stores (4719),-1.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,Retail sale of automotive fuel (4730),3.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,"Retail sale of hardware, paints and glass (4752)",3.0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,Retail sale of furniture and lighting (4759),-3.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,Bars (5630),23.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,All retail businesses,-0.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,"Motor trades and automotive fuel (45,4730)",-0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,"All retail businesses, excluding motor trades and bars",-2.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,"All retail businesses, excluding motor trades",-1.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,"All retail businesses, excluding motor trades, automotive fuel and bars",-2.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,"Retail sale of food (4711,4721 to 4729)",-4.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",-0.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",-2.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",-3.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,"Retail sale of electrical goods (4741 to 4743,4754)",1.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",4.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",-5.0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,"Other retail sales (4753,4763 to 4765,4776 to 4778)",-4.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,"Retail sale of books, newspapers and stationery (4761,4762)",23.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 August,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",-2.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,Motor trades (45),-0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",-0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,Department stores (4719),4.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,Retail sale of automotive fuel (4730),-2.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,"Retail sale of hardware, paints and glass (4752)",-4.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,Retail sale of furniture and lighting (4759),-2.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,Bars (5630),18.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,All retail businesses,1.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,"Motor trades and automotive fuel (45,4730)",-1.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,"All retail businesses, excluding motor trades and bars",2.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,"All retail businesses, excluding motor trades",3.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,"All retail businesses, excluding motor trades, automotive fuel and bars",3.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,"Retail sale of food (4711,4721 to 4729)",0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",3.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",-0.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",-3.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,"Retail sale of electrical goods (4741 to 4743,4754)",-0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",6.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",4.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,"Other retail sales (4753,4763 to 4765,4776 to 4778)",5.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,"Retail sale of books, newspapers and stationery (4761,4762)",-2.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 September,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",3.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,Motor trades (45),18.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",0.0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,Department stores (4719),-2.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,Retail sale of automotive fuel (4730),3.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,"Retail sale of hardware, paints and glass (4752)",0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,Retail sale of furniture and lighting (4759),4.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,Bars (5630),4.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,All retail businesses,6.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,"Motor trades and automotive fuel (45,4730)",4.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,"All retail businesses, excluding motor trades and bars",5.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,"All retail businesses, excluding motor trades",6.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,"All retail businesses, excluding motor trades, automotive fuel and bars",5.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,"Retail sale of food (4711,4721 to 4729)",-1.0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",11.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",-11.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",2.0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,"Retail sale of electrical goods (4741 to 4743,4754)",-0.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",-5.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",30.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,"Other retail sales (4753,4763 to 4765,4776 to 4778)",36.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,"Retail sale of books, newspapers and stationery (4761,4762)",11.0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 October,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",-0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 November,Motor trades (45),-3.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 November,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",-1.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 November,Department stores (4719),-2.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 November,Retail sale of automotive fuel (4730),-0.1
